Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
233,P.J. Washington\washipj01,CHO,3831840.00 $,4023600.00 $,4215120.00 $,5808435.00 $,,,1st Round Pick,7855440.00 $
234,Luke Kennard\kennalu01,DET,3827160.00 $,5273826.00 $,,,,,1st Round Pick,9100986.00 $
235,Miles Bridges\bridgmi02,CHO,3755400.00 $,3934320.00 $,5421493.00 $,,,,1st Round Pick,7689720.00 $
236,Jakob Poeltl\poeltja01,SAS,3754886.00 $,,,,,,1st Round pick,3754886.00 $
237,Tyler Herro\herroty01,MIA,3640200.00 $,3822240.00 $,4004280.00 $,5722116.00 $,,,1st Round Pick,7462440.00 $
238,Donovan Mitchell\mitchdo01,UTA,3635760.00 $,5195501.00 $,,,,,1st Round Pick,8831261.00 $
239,Stanley Johnson\johnsst04,TOR,3623000.00 $,3801000.00 $,,,,,Bi-annual Exception,3623000.00 $
240,Jake Layman\laymaja01,MIN,3581986.00 $,3761085.00 $,3940184.00 $,,,,Sign and Trade,11283255.00 $
241,Thon Maker\makerth01,DET,3569643.00 $,,,,,,1st Round pick,3569643.00 $
242,Jerome Robinson\robinje01,WAS,3567720.00 $,3737520.00 $,5340916.00 $,,,,1st Round Pick,7305240.00 $
243,Allonzo Trier\trieral01,NYK,3551100.00 $,,,,,,,3551100.00 $
244,Danuel House\houseda01,HOU,3540000.00 $,3717000.00 $,3894000.00 $,,,,MLE,11151000.00 $
245,Domantas Sabonis\sabondo01,IND,3529555.00 $,17187500.00 $,18562500.00 $,19937500.00 $,21312500.00 $,,1st Round pick,80529555.00 $
246,Mirza Teletović\teletmi01,MIL,3500000.00 $,3500000.00 $,,,,,,7000000.00 $
247,Boban Marjanović\marjabo01,DAL,3500000.00 $,3500000.00 $,,,,,Bi-Annual Exception,7000000.00 $
248,T.J. McConnell\mccontj01,IND,3500000.00 $,3500000.00 $,,,,,Cap Space,4500000.00 $
249,DeMarcus Cousins\couside01,LAL,3500000.00 $,,,,,,,3500000.00 $
250,Taurean Waller-Prince\princta02,BRK,3481986.00 $,13942308.00 $,15057692.00 $,,,,1st Round pick,32481986.00 $
251,Dario Šarić\saricda01,PHO,3481986.00 $,,,,,,1st Round pick,3481986.00 $
252,Romeo Langford\langfro01,BOS,3458400.00 $,3631200.00 $,3804360.00 $,5634257.00 $,,,1st Round Pick,7089600.00 $
253,Bam Adebayo\adebaba01,MIA,3454080.00 $,5115492.00 $,,,,,1st Round Pick,8569572.00 $
254,Kyle Korver\korveky01,PHO,3440000.00 $,,,,,,,3440000.00 $
255,Michael Porter\portemi01,DEN,3389400.00 $,3550800.00 $,5258735.00 $,,,,1st Round Pick,6940200.00 $
256,Denzel Valentine\valende01,CHI,3377569.00 $,,,,,,1st Round pick,3377569.00 $
257,Juan Hernangómez\hernaju01,MIN,3321030.00 $,,,,,,1st Round pick,3321030.00 $
