date, pm25, pm10, o3
2021/3/18, 49, , 
2021/3/19, 25, , 
2021/3/20, 8, , 
2021/3/21, 10, , 
2021/3/22, 14, , 
2021/3/23, 11, , 
2021/3/24, 30, , 
2021/3/25, 25, , 
2021/3/26, 14, , 
2021/3/27, 27, , 
2021/3/28, 47, , 
2021/3/29, 23, , 
2021/3/30, 19, , 
2021/3/31, 37, , 
2021/4/1, 47, , 
2020/10/2, 67, , 27
2020/10/3, 70, , 17
2020/10/4, 58, , 12
2020/10/5, 57, , 15
2020/10/6, 49, , 16
2020/10/7, 53, , 13
2020/10/8, 62, , 14
2020/10/9, 23, , 15
2020/10/10, 36, , 29
2020/10/11, 17, , 22
2020/10/12, 12, , 25
2020/10/13, 17, , 26
2020/10/14, 16, , 24
2020/10/15, 22, , 22
2020/10/16, 31, , 21
2020/10/17, 31, , 17
2020/10/18, 27, , 16
2020/10/19, 25, , 26
2020/10/20, 10, , 31
2020/10/21, 21, , 27
2020/10/22, 16, , 19
2020/10/23, 41, , 15
2020/10/24, 31, , 19
2020/10/25, 16, , 25
2020/10/26, 23, , 19
2020/10/27, 53, , 15
2020/10/28, 65, , 9
2020/10/29, 55, , 11
2020/10/30, 60, , 24
2020/10/31, 50, , 16
2020/11/1, 51, , 16
2020/11/2, 60, , 5
2020/11/3, 90, , 
2020/11/4, 43, , 
2020/11/5, 10, , 
2020/11/6, 23, , 
2020/11/7, 21, , 
2020/11/8, 36, , 
2020/11/9, 38, , 
2020/11/10, 53, , 
2020/11/11, 32, , 
2020/11/12, 44, , 
2020/11/13, 67, , 
2020/11/14, 15, , 
2020/11/15, 18, , 
2020/11/16, 19, , 
2020/11/17, 40, , 
2020/11/18, 20, , 
2020/11/19, 15, , 
2020/11/20, 19, , 
2020/11/21, 55, , 
2020/11/22, 50, , 
2020/11/23, 52, , 
2020/11/24, 24, , 
2020/11/25, 28, , 
2020/11/26, 15, , 
2020/11/27, 27, , 
2020/11/28, 32, , 
2020/11/29, 33, , 
2020/11/30, 43, , 
2020/12/1, 26, , 
2020/12/2, 36, , 
2020/12/3, 28, , 
2020/12/4, 57, , 
2020/12/5, 76, , 
2020/12/6, 73, , 
2020/12/7, 49, , 
2020/12/8, 56, , 
2020/12/9, 67, , 
2020/12/10, 34, , 
2020/12/11, 43, , 
2020/12/12, 22, , 
2020/12/13, 49, , 
2020/12/14, 40, , 
2020/12/15, 18, , 
2020/12/16, 13, , 
2020/12/17, 18, , 
2020/12/18, 15, , 
2020/12/19, 18, , 
2020/12/20, 9, , 
2020/12/21, 12, , 
2020/12/22, 9, , 
2020/12/23, 19, , 
2020/12/24, 35, , 
2020/12/25, 48, , 
2020/12/26, 49, , 
2020/12/27, 9, , 
2020/12/28, 23, , 
2020/12/29, 31, , 
2020/12/30, 58, , 
2020/12/31, 20, , 
2021/1/1, 11, , 
2021/1/2, 9, , 
2021/1/3, 7, , 
2021/1/4, 11, , 
2020/7/2, 9, , 30
2020/7/3, 33, , 32
2020/7/4, 34, , 27
2020/7/5, 26, , 25
2020/7/6, 27, , 21
2020/7/7, 11, , 18
2020/7/8, 10, , 24
2020/7/9, 12, , 19
2020/7/10, 13, , 25
2020/7/11, 15, , 22
2020/7/12, 17, , 21
2020/7/13, 14, , 32
2020/7/14, 15, , 34
2020/7/15, 18, , 26
2020/7/16, 17, , 17
2020/7/17, 10, , 18
2020/7/18, 10, , 26
2020/7/19, 17, , 23
2020/7/20, 19, , 32
2020/7/21, 21, , 25
2020/7/22, 16, , 21
2020/7/23, 9, , 22
2020/7/24, 10, , 19
2020/7/25, 12, , 28
2020/7/26, 17, , 42
2020/7/27, 21, , 59
2020/7/28, 33, , 32
2020/7/29, 18, , 31
2020/7/30, 15, , 38
2020/7/31, 19, , 23
2020/8/1, 17, , 24
2020/8/2, 10, , 22
2020/8/3, 9, , 25
2020/8/4, 15, , 30
2020/8/5, 22, , 26
2020/8/6, 19, , 22
2020/8/7, 12, , 27
2020/8/8, 18, , 24
2020/8/9, 15, , 31
2020/8/10, 14, , 27
2020/8/11, 15, , 31
2020/8/12, 19, , 30
2020/8/13, 23, , 35
2020/8/14, 28, , 39
2020/8/15, 37, , 53
2020/8/16, 34, , 42
2020/8/17, 42, , 34
2020/8/18, 21, , 27
2020/8/19, 13, , 29
2020/8/20, 17, , 16
2020/8/21, 7, , 16
2020/8/22, 7, , 28
2020/8/23, 14, , 28
2020/8/24, 20, , 28
2020/8/25, 19, , 31
2020/8/26, 18, , 26
2020/8/27, 19, , 27
2020/8/28, 16, , 30
2020/8/29, 15, , 25
2020/8/30, 12, , 24
2020/8/31, 19, , 27
2020/9/1, 12, , 30
2020/9/2, 15, , 29
2020/9/3, 14, , 37
2020/9/4, 13, , 26
2020/9/5, 38, , 35
2020/9/6, 36, , 35
2020/9/7, 39, , 37
2020/9/8, 69, , 37
2020/9/9, 131, , 25
2020/9/10, 121, , 4
2020/9/11, 361, , 6
2020/9/12, 214, , 5
2020/9/13, 191, , 9
2020/9/14, 563, , 20
2020/9/15, 424, , 18
2020/9/16, 285, , 22
2020/9/17, 342, , 14
2020/9/18, 355, , 14
2020/9/19, 88, , 21
2020/9/20, 21, , 19
2020/9/21, 30, , 2
2020/9/22, 40, , 22
2020/9/23, 10, , 15
2020/9/24, 21, , 22
2020/9/25, 15, , 17
2020/9/26, 14, , 21
2020/9/27, 11, , 22
2020/9/28, 15, , 31
2020/9/29, 16, , 27
2020/9/30, 32, , 26
2020/10/1, 53, , 15
2020/4/2, 14, , 
2020/4/3, 15, , 
2020/4/4, 18, , 
2020/4/5, 24, , 
2020/4/6, 24, , 
2020/4/7, 15, , 
2020/4/8, 30, , 
2020/4/9, 45, , 
2020/4/10, 35, , 
2020/4/11, 21, , 
2020/4/12, 23, , 
2020/4/13, 30, , 
2020/4/14, 29, , 
2020/4/15, 23, , 
2020/4/16, 18, , 
2020/4/17, 16, , 
2020/4/18, 19, , 
2020/4/19, 21, , 
2020/4/20, 27, , 
2020/4/21, 30, , 
2020/4/22, 14, , 
2020/4/23, 18, , 
2020/4/24, 19, , 
2020/4/25, 18, , 
2020/4/26, 15, , 
2020/4/27, 22, , 
2020/4/28, 12, , 
2020/4/29, 19, , 20
2020/4/30, 20, , 30
2020/5/1, 14, , 27
2020/5/2, 22, , 33
2020/5/3, 20, , 32
2020/5/4, 18, , 34
2020/5/5, 24, , 30
2020/5/6, 23, , 33
2020/5/7, 13, , 34
2020/5/8, 16, , 35
2020/5/9, 15, , 37
2020/5/10, 19, , 36
2020/5/11, 23, , 30
2020/5/12, 22, , 28
2020/5/13, 22, , 27
2020/5/14, 12, , 27
2020/5/15, 14, , 34
2020/5/16, 17, , 18
2020/5/17, 21, , 27
2020/5/18, 14, , 26
2020/5/19, 10, , 22
2020/5/20, 10, , 20
2020/5/21, 11, , 27
2020/5/22, 7, , 26
2020/5/23, 8, , 28
2020/5/24, 18, , 30
2020/5/25, 24, , 22
2020/5/26, 17, , 23
2020/5/27, 14, , 38
2020/5/28, 18, , 49
2020/5/29, 21, , 35
2020/5/30, 23, , 21
2020/5/31, 15, , 29
2020/6/1, 12, , 30
2020/6/2, 15, , 32
2020/6/3, 13, , 28
2020/6/4, 12, , 31
2020/6/5, 12, , 27
2020/6/6, 12, , 22
2020/6/7, 12, , 23
2020/6/8, 8, , 23
2020/6/9, 11, , 16
2020/6/10, 8, , 19
2020/6/11, 9, , 29
2020/6/12, 10, , 21
2020/6/13, 9, , 18
2020/6/14, 9, , 22
2020/6/15, 9, , 23
2020/6/16, 7, , 19
2020/6/17, 8, , 26
2020/6/18, 10, , 27
2020/6/19, 17, , 33
2020/6/20, 16, , 14
2020/6/21, 10, , 23
2020/6/22, 7, , 33
2020/6/23, 11, , 31
2020/6/24, 15, , 10
2020/6/25, 9, , 25
2020/6/26, 15, , 29
2020/6/27, 14, , 23
2020/6/28, 7, , 19
2020/6/29, 9, , 11
2020/6/30, 14, , 20
2020/7/1, 13, , 21
2020/1/2, 14, , 
2020/1/3, 16, , 
2020/1/4, 14, , 
2020/1/5, 13, , 
2020/1/6, 14, , 
2020/1/7, 12, , 
2020/1/8, 10, , 
2020/1/9, 18, , 
2020/1/10, 25, , 
2020/1/11, 14, , 
2020/1/12, 15, , 
2020/1/13, 11, , 
2020/1/14, 13, , 
2020/1/15, 12, , 
2020/1/16, 13, , 
2020/1/17, 19, , 
2020/1/18, 17, , 
2020/1/19, 15, , 
2020/1/20, 40, , 
2020/1/21, 74, , 
2020/1/22, 23, , 
2020/1/23, 10, , 
2020/1/24, 10, , 
2020/1/25, 16, , 
2020/1/26, 19, , 
2020/1/27, 13, , 
2020/1/28, 12, , 
2020/1/29, 10, , 
2020/1/30, 15, , 
2020/1/31, 21, , 
2020/2/1, 12, , 
2020/2/2, 13, , 
2020/2/3, 29, , 
2020/2/4, 29, , 
2020/2/5, 22, , 
2020/2/6, 11, , 
2020/2/7, 9, , 
2020/2/8, 9, , 
2020/2/9, 20, , 
2020/2/10, 50, , 
2020/2/11, 56, , 
2020/2/12, 49, , 
2020/2/13, 46, , 
2020/2/14, 36, , 
2020/2/15, 14, , 
2020/2/16, 12, , 
2020/2/17, 15, , 
2020/2/18, 25, , 
2020/2/19, 30, , 
2020/2/20, 24, , 
2020/2/21, 29, , 
2020/2/22, 50, , 
2020/2/23, 44, , 
2020/2/24, 23, , 
2020/2/25, 30, , 
2020/2/26, 50, , 
2020/2/27, 46, , 
2020/2/28, 51, , 
2020/2/29, 35, , 
2020/3/1, 14, , 
2020/3/2, 28, , 
2020/3/3, 25, , 
2020/3/4, 11, , 
2020/3/5, 27, , 
2020/3/6, 30, , 
2020/3/7, 14, , 
2020/3/8, 16, , 
2020/3/9, 37, , 
2020/3/10, 51, , 
2020/3/11, 34, , 
2020/3/12, 23, , 
2020/3/13, 28, , 
2020/3/14, 30, , 
2020/3/15, 24, , 
2020/3/16, 20, , 
2020/3/17, 23, , 
2020/3/18, 25, , 
2020/3/19, 27, , 
2020/3/20, 36, , 
2020/3/21, 35, , 
2020/3/22, 35, , 
2020/3/23, 36, , 
2020/3/24, 13, , 
2020/3/25, 11, , 
2020/3/26, 15, , 
2020/3/27, 21, , 
2020/3/28, 27, , 
2020/3/29, 23, , 
2019/10/2, 21, , 16
2019/10/3, 29, , 32
2019/10/4, 16, , 
2019/10/5, 16, , 
2019/10/6, 29, , 
2019/10/7, 43, , 
2019/10/8, 33, , 
2019/10/9, 9, , 
2019/10/10, 27, , 
2019/10/11, 23, , 
2019/10/12, 28, , 
